h21deg3p3	3.10581	4.38853
h21deg3p3	3.13868	4.43497
h21deg3p3	3.17155	4.48141
h21deg3p3	3.20441	4.52785
h21deg3p3	3.23728	4.57429
h21deg3p3	3.27014	4.62073
h21deg3p3	3.30301	4.66717
h21deg3p3	3.33587	4.71361
h21deg3p3	3.36874	4.76005
h21deg3p3	3.40161	4.80649
h21deg3p3	3.43447	4.85293
h21deg3p3	3.46734	4.89937
h21deg3p3	3.5002	4.94581
h21deg3p3	3.53307	4.99225
h21deg3p3	3.56593	5.03869
d21deg3p3	3.10581	4.38853
d21deg3p3	3.13868	4.43497
d21deg3p3	3.17155	4.48141
d21deg3p3	3.20441	4.52785
d21deg3p3	3.23728	4.57429
d21deg3p3	3.27014	4.62073
d21deg3p3	3.30301	4.66717
d21deg3p3	3.33587	4.71361
d21deg3p3	3.36874	4.76005
d21deg3p3	3.40161	4.80649
d21deg3p3	3.43447	4.85293
d21deg3p3	3.46734	4.89937
d21deg3p3	3.5002	4.94581
d21deg3p3	3.53307	4.99225
d21deg3p3	3.56593	5.03869
r21deg3p3	3.10581	4.38853
r21deg3p3	3.13868	4.43497
r21deg3p3	3.17155	4.48141
r21deg3p3	3.20441	4.52785
r21deg3p3	3.23728	4.57429
r21deg3p3	3.27014	4.62073
r21deg3p3	3.30301	4.66717
r21deg3p3	3.33587	4.71361
r21deg3p3	3.36874	4.76005
r21deg3p3	3.40161	4.80649
r21deg3p3	3.43447	4.85293
r21deg3p3	3.46734	4.89937
r21deg3p3	3.5002	4.94581
r21deg3p3	3.53307	4.99225
r21deg3p3	3.56593	5.03869
h21deg2p7	2.40187	3.39386
h21deg2p7	2.42841	3.43136
h21deg2p7	2.45495	3.46886
h21deg2p7	2.48149	3.50636
h21deg2p7	2.50803	3.54386
h21deg2p7	2.53457	3.58136
h21deg2p7	2.56111	3.61886
h21deg2p7	2.58765	3.65637
h21deg2p7	2.61419	3.69387
h21deg2p7	2.64073	3.73137
h21deg2p7	2.66727	3.76887
h21deg2p7	2.69381	3.80637
h21deg2p7	2.72035	3.84387
h21deg2p7	2.74689	3.88137
h21deg2p7	2.77343	3.91887
h21deg2p7	2.79997	3.95637
h21deg2p7	2.82651	3.99388
h21deg2p7	2.85305	4.03138
h21deg2p7	2.87959	4.06888
h21deg2p7	2.90613	4.10638
h21deg2p7	2.93267	4.14388
h21deg2p7	2.95921	4.18138
h21deg2p7	2.98575	4.21888
h21deg2p7	3.01229	4.25638
h21deg2p7	3.03883	4.29389
h21deg2p7	3.06537	4.33139
h21deg2p7	3.09191	4.36889
h21deg2p7	3.11845	4.40639
h21deg2p7	3.14499	4.44389
h21deg2p7	3.17153	4.48139
h21deg2p7	3.19807	4.51889
h21deg2p7	3.22461	4.55639
h21deg3p3	2.93582	4.14833
h21deg3p3	2.96826	4.19417
h21deg3p3	3.0007	4.24001
h21deg3p3	3.03314	4.28585
h21deg3p3	3.06558	4.33168
h21deg3p3	3.09802	4.37752
h21deg3p3	3.13046	4.42336
h21deg3p3	3.1629	4.4692
h21deg3p3	3.19534	4.51504
h21deg3p3	3.22778	4.56087
h21deg3p3	3.26022	4.60671
h21deg3p3	3.29266	4.65255
h21deg3p3	3.3251	4.69839
h21deg3p3	3.35754	4.74422
h21deg3p3	3.38998	4.79006
h21deg3p3	3.42242	4.8359
h21deg3p3	3.45486	4.88174
h21deg3p3	3.4873	4.92758
h21deg3p3	3.51974	4.97341
h21deg3p3	3.55218	5.01925
h21deg3p3	3.58462	5.06509
h21deg3p3	3.61706	5.11093
h21deg3p3	3.6495	5.15677
h21deg4p0	3.55846	5.02813
h21deg4p0	3.59778	5.08369
h21deg4p0	3.6371	5.13924
h21deg4p0	3.67642	5.1948
d21deg2p7	2.40187	3.39386
d21deg2p7	2.42841	3.43136
d21deg2p7	2.45495	3.46886
d21deg2p7	2.48149	3.50636
d21deg2p7	2.50803	3.54386
d21deg2p7	2.53457	3.58136
d21deg2p7	2.56111	3.61886
d21deg2p7	2.58765	3.65637
d21deg2p7	2.61419	3.69387
d21deg2p7	2.64073	3.73137
d21deg2p7	2.66727	3.76887
d21deg2p7	2.69381	3.80637
d21deg2p7	2.72035	3.84387
d21deg2p7	2.74689	3.88137
d21deg2p7	2.77343	3.91887
d21deg2p7	2.79997	3.95637
d21deg2p7	2.82651	3.99388
d21deg2p7	2.85305	4.03138
d21deg2p7	2.87959	4.06888
d21deg2p7	2.90613	4.10638
d21deg2p7	2.93267	4.14388
d21deg2p7	2.95921	4.18138
d21deg2p7	2.98575	4.21888
d21deg2p7	3.01229	4.25638
d21deg2p7	3.03883	4.29389
d21deg2p7	3.06537	4.33139
d21deg2p7	3.09191	4.36889
d21deg2p7	3.11845	4.40639
d21deg2p7	3.14499	4.44389
d21deg2p7	3.17153	4.48139
d21deg2p7	3.19807	4.51889
d21deg2p7	3.22461	4.55639
d21deg3p3	2.93582	4.14833
d21deg3p3	2.96826	4.19417
d21deg3p3	3.0007	4.24001
d21deg3p3	3.03314	4.28585
d21deg3p3	3.06558	4.33168
d21deg3p3	3.09802	4.37752
d21deg3p3	3.13046	4.42336
d21deg3p3	3.1629	4.4692
d21deg3p3	3.19534	4.51504
d21deg3p3	3.22778	4.56087
d21deg3p3	3.26022	4.60671
d21deg3p3	3.29266	4.65255
d21deg3p3	3.3251	4.69839
d21deg3p3	3.35754	4.74422
d21deg3p3	3.38998	4.79006
d21deg3p3	3.42242	4.8359
d21deg3p3	3.45486	4.88174
d21deg3p3	3.4873	4.92758
d21deg3p3	3.51974	4.97341
